Département,Numéro Circonscription,Numéro Panneau,Nom,Prénom,Civilité,Nuance Ministère,Nuance agrégée par Le Monde,Parti agrégé par Le Monde
073,02,4,MORAND,Cédric,M.,NUP,LFI-Nupes,La France insoumise
073,02,2,CHENU,Jordan,M.,DVD,souv.,divers souverainistes
073,02,6,TROUTOT,Philippe,M.,DIV,LRM dis.,dissident La République en marche
073,03,2,BONNIVARD,Emilie,Mme,LR,LR,Les Républicains
073,03,3,TROSSET,Xavier,M.,ENS,MoDem-Ensemble,Mouvement démocrate
073,03,4,THOMAZO,Vincent,M.,DSV,DLF,Debout la France
073,03,5,NOWAK,Patricia,Mme,ECO,Anim.,Parti animaliste
073,03,6,SOCQUET-JUGLARD,Ghislaine,Mme,ECO,EAC,Ecologie au centre
073,03,8,TROUVÉ,Pascale,Mme,DXG,LO,Lutte ouvrière
073,03,9,DAUCHY,Marie,Mme,RN,RN,Rassemblement national
073,03,7,KRAWEZYNSKI,Nathalie,Mme,NUP,LFI-Nupes,La France insoumise
073,03,1,FLORIO,Mikaël,M.,REC,Rec.,Reconquête !
073,04,2,GAUDIN,François,M.,LR,LR,Les Républicains
073,04,9,COULOMME,Jean-François,M.,NUP,LFI-Nupes,La France insoumise
073,04,4,MERCIER,David,M.,DSV,souv.,divers souverainistes
073,04,3,DUCRUET,Marie,Mme,DXG,LO,Lutte ouvrière
073,04,8,GONZALEZ,Charles,M.,REC,Rec.,Reconquête !
073,04,7,GARNIER,Rémi,M.,RN,RN,Rassemblement national
073,04,5,GUILLAUD,Albin,M.,DIV,div.,divers inclassable
073,04,6,BOUVIER,Mireille,Mme,DIV,EAC,Ecologie au centre
073,04,1,MIGNOLA,Patrick,M.,ENS,MoDem-Ensemble,Mouvement démocrate
073,04,10,FELFOULI,Sonia,Mme,DSV,Pat.,Les Patriotes
074,01,4,PATTY GOMILA,Aurélia,Mme,LR,LR,Les Républicains
074,01,10,RIOTTON,Véronique,Mme,ENS,LRM-Ensemble,La République en marche
074,01,1,BATA,Anne-Sophie,Mme,ECO,Anim.,Parti animaliste
074,01,3,CHIAD,Daniel Salem,M.,DIV,div.,divers inclassable
074,01,6,MATTEI,Jacques,M.,DXG,LO,Lutte ouvrière
074,01,7,GIRARD-DESPROLET,William,M.,REG,rég.-RPS,régionalistes
074,01,8,JAMBARD,Guillaume,M.,REC,Rec.,Reconquête !
074,01,5,DUVAL,Anne-Valérie,Mme,NUP,LFI-Nupes,La France insoumise
074,01,9,JOUFFREY,Didier,M.,RN,RN,Rassemblement national
074,01,2,BUHLER,Franck,M.,DSV,DLF,Debout la France
074,02,9,TARDY,Lionel,M.,DVD,div. d.,divers droite
074,02,1,COLLOMB-PATTON,Willy,M.,REG,souv.,divers souverainistes
074,02,8,YILDIRIM,Naci,M.,DXG,LO,Lutte ouvrière
074,02,2,CORNU,Damien,M.,DSV,souv.,divers souverainistes
074,02,3,NANCHE,Anaïs,Mme,RN,RN,Rassemblement national
074,02,4,PACORET,Catherine,Mme,UDI,UDI,Union des démocrates et indépendants
074,02,5,BRANCALEONE,Sylvie,Mme,DSV,Pat.,Les Patriotes
074,02,7,VIGARIÉ,Jean-Paul,M.,ECO,Anim.,Parti animaliste
074,02,6,BOUSSA,Oujdi,M.,DIV,div.,divers inclassable
074,02,14,SCIABBARRASI,Pascal,M.,ECO,EELV dis.,dissident EELV hors accord Nupes
074,02,10,HIPPOMÈNE,San,M.,REC,Rec.,Reconquête !
074,02,11,PERALDI,Timothée,M.,DIV,div.,divers inclassable
074,02,12,ARMAND,Antoine,M.,ENS,LRM-Ensemble,La République en marche
074,02,13,FONTANA,Loris,Mme,NUP,PCF-Nupes,Parti communiste français
074,02,15,CURDY,Christian,M.,ECO,écol.,divers écologistes
074,03,6,PETEX-LEVET,Christelle,Mme,LR,LR,Les Républicains
074,03,3,DAGHRIR,Anis,M.,RN,RN,Rassemblement national
074,03,7,JACCAZ,Joseph,M.,ECO,Anim.,Parti animaliste
074,03,10,VANEECKELOOT-TASSA,Fabienne,Mme,NUP,LFI-Nupes,La France insoumise
074,03,1,BOUVIER,Véronique,Mme,REG,rég.-RPS,régionalistes
074,03,2,COHEN,Albert,M.,DIV,Pirate,Parti Pirate
074,03,5,FERRARINI,Valérie,Mme,ENS,LRM-Ensemble,La République en marche
074,03,8,JOANNOT,Sébastien,M.,REC,Rec.,Reconquête !
074,03,9,LEGOUHY,Jocelyne,Mme,DXG,LO,Lutte ouvrière
074,04,8,DUBY-MULLER,Virginie,Mme,LR,LR,Les Républicains
074,04,2,VIELLIARD,Antoine,M.,ENS,MoDem-Ensemble,Mouvement démocrate
074,04,6,BÉDAGUE,Sophie,Mme,DXG,LO,Lutte ouvrière
074,04,12,BAILLY,Nicolas,M.,REC,Rec.,Reconquête !
074,04,5,VERBASCO,Véronique,Mme,DSV,Pat.,Les Patriotes
074,04,3,DJONGANDEKE,Tongomo,M.,DIV,div.,divers inclassable
074,04,14,COHARD,Alexandre,M.,DIV,div.,divers inclassable
074,04,9,LUHO,Magalie,Mme,RN,RN,Rassemblement national
