Commune Inscrits Abstentions Votants Blancs Nuls Exprimés
Couflens 100 1 01 03 97 97 57 40 0 0 40 0 23 0 9 6 1 1
Coussa 101 1 01 13 207 206 137 69 3 0 66 3 9 1 27 11 4 11
Crampagna 103 1 01 13 644 645 396 249 5 1 243 6 75 11 49 63 5 34
Dalou 104 1 01 13 613 612 423 189 4 4 181 4 56 8 53 37 3 20
Dreuilhe 106 1 01 09 304 301 198 103 3 2 98 1 22 0 38 23 2 12
Durban-sur-Arize 108 1 01 03 158 158 78 80 2 0 78 1 37 1 4 28 2 5
Engomer 111 1 01 04 261 261 150 111 4 1 106 5 51 1 12 24 2 11
Ercé 113 1 01 03 379 379 215 164 5 4 155 3 44 5 23 65 3 12
Ercé 113 2 01 03 103 103 49 54 2 0 52 0 19 1 5 25 1 1
Ferriéres-sur-Ariége 121 1 01 05 590 592 361 231 4 4 223 2 60 9 45 77 1 29
Foix 122 1 01 05 784 781 510 271 4 4 263 6 126 6 42 53 4 26
Foix 122 2 01 05 918 917 524 393 2 5 386 7 143 10 49 113 13 51
Foix 122 3 01 05 735 735 484 251 5 3 243 6 116 2 30 56 6 27
Foix 122 4 01 05 718 718 497 221 5 7 209 7 45 6 51 70 6 24
Foix 122 5 01 05 1022 1020 631 389 7 9 373 4 140 17 59 95 5 53
Foix 122 6 01 05 873 873 527 346 11 4 331 4 128 9 70 80 7 33
Foix 122 7 01 05 819 819 518 301 5 5 291 2 100 10 47 83 7 42
Foix 122 8 01 05 833 830 504 326 10 6 310 5 87 10 60 91 5 52
Foix 122 9 01 05 48 48 26 22 1 0 21 1 7 3 4 1 1 4
Fougax-et-Barrineuf 125 1 01 09 340 340 249 91 5 0 86 1 28 2 35 10 2 8
Freychenet 126 1 01 09 87 87 45 42 2 0 40 0 16 0 5 12 1 6
Galey 129 1 01 04 146 146 97 49 3 0 46 2 14 2 6 16 0 6
Ganac 130 1 01 05 557 557 330 227 3 0 224 1 85 6 36 78 3 15
Garanou 131 1 01 01 124 124 71 53 0 0 53 0 7 1 23 12 0 10
Génat 133 1 01 12 43 43 11 32 1 1 30 0 7 1 9 9 0 4
Gestiés 134 1 01 12 51 51 18 33 3 0 30 0 4 1 2 19 0 4
Gourbit 136 1 01 12 119 118 60 58 0 3 55 5 11 4 7 25 0 3
Gudas 137 1 01 13 148 148 96 52 1 1 50 1 16 3 14 9 1 6
L'Herm 138 1 01 13 189 189 89 100 3 0 97 1 54 1 22 17 0 2
L'Hospitalet-prés-l'Andorre 139 1 01 01 71 71 44 27 0 2 25 0 2 5 0 5 0 13
Ignaux 140 1 01 01 179 180 132 48 0 0 48 0 12 0 14 15 2 5
Illartein 141 1 01 04 68 70 34 36 0 0 36 0 9 3 9 11 4 0
Ilhat 142 1 01 09 111 111 75 36 1 0 35 0 14 0 14 3 0 4
Illier-et-Laramade 143 1 01 12 32 32 7 25 1 0 24 0 5 2 2 12 0 3
Lapége 152 1 01 12 41 41 13 28 0 0 28 0 12 2 5 7 0 2
Larbont 154 1 01 03 50 50 23 27 0 0 27 0 11 1 0 6 0 9
Larcat 155 1 01 01 55 55 30 25 0 0 25 1 8 0 3 12 1 0
Larnat 156 1 01 01 30 30 14 16 0 0 16 0 1 0 7 5 2 1
Lassur 159 1 01 01 90 90 40 50 1 1 48 1 10 0 12 23 0 2
Lavelanet 160 1 01 09 956 955 663 292 13 6 273 4 76 13 108 41 1 30
Lavelanet 160 2 01 09 868 866 649 217 9 5 203 3 49 11 87 41 1 11
Lavelanet 160 3 01 09 1002 999 677 322 11 5 306 2 86 8 125 48 2 35
Lavelanet 160 4 01 09 885 886 628 258 8 3 247 2 65 1 102 52 5 20
Lavelanet 160 5 01 09 953 955 646 309 4 4 301 4 81 9 99 73 5 30
Lercoul 162 1 01 12 73 73 41 32 2 1 29 0 15 0 0 7 0 7
Lesparrou 165 1 01 09 206 204 114 90 6 4 80 4 6 1 33 16 3 17
Leychert 166 1 01 09 87 87 44 43 2 0 41 0 17 4 16 4 0 0
Lieurac 168 1 01 09 149 149 90 59 1 0 58 3 32 1 9 3 0 10
Lordat 171 1 01 01 62 64 24 40 2 2 36 0 12 3 10 5 2 4
Loubens 173 1 01 13 210 211 116 95 4 1 90 1 44 1 9 25 0 10
Loubiéres 174 1 01 13 254 251 153 98 2 1 95 0 34 2 28 19 1 11
Luzenac 176 1 01 01 363 364 225 139 3 0 136 6 18 2 40 54 6 10
Malléon 179 1 01 13 63 63 39 24 2 0 22 1 5 0 7 5 0 4
Massat 182 1 01 03 638 636 404 232 2 1 229 4 143 3 31 22 6 20
Mercus-Garrabet 188 1 01 12 938 938 623 315 13 3 299 7 104 3 70 68 10 37
Mérens-les-Vals 189 1 01 01 166 166 63 103 0 0 103 0 10 5 17 69 2 0
Miglos 192 1 01 12 156 156 90 66 3 1 62 2 15 4 9 20 1 11
Mijanés 193 1 01 01 43 43 21 22 1 0 21 1 4 0 0 15 0 1
Montagagne 196 1 01 03 59 61 31 30 0 0 30 0 25 0 3 0 1 1
Montaillou 197 1 01 01 39 39 19 20 4 0 16 0 5 0 2 8 0 1
Montégut-Plantaurel 202 1 01 13 264 263 163 100 3 1 96 3 46 1 21 18 0 7
Montels 203 1 01 03 155 153 87 66 1 0 65 1 24 0 8 26 1 5
Montferrier 206 1 01 09 526 525 292 233 5 2 226 1 33 3 120 44 3 20
Montgailhard 207 1 01 05 1114 1111 698 413 11 3 399 7 127 9 107 96 13 40
Montoulieu 210 1 01 12 345 348 212 136 6 3 127 2 45 3 30 29 1 17
Montségur 211 1 01 09 118 118 60 58 0 1 57 1 12 2 20 16 0 6
Montseron 212 1 01 03 83 83 40 43 1 0 42 0 25 0 3 13 0 1
Nalzen 215 1 01 09 112 110 54 56 0 0 56 3 17 3 11 18 0 4
Nescus 216 1 01 03 50 50 18 32 1 2 29 0 8 2 1 13 0 5
Niaux 217 1 01 12 128 128 80 48 6 1 41 1 7 1 21 3 3 5
Orgeix 218 1 01 01 98 98 49 49 4 0 45 0 6 0 16 18 2 3
Orgibet 219 1 01 04 149 149 102 47 0 2 45 8 14 0 6 12 1 4
Orlu 220 1 01 01 139 139 54 85 2 1 82 0 11 3 7 59 0 2
Ornolac-Ussat-les-Bains 221 1 01 01 166 167 87 80 4 1 75 4 17 2 28 17 0 7
Orus 222 1 01 12 30 30 15 15 1 0 14 0 6 0 2 5 0 1
Oust 223 1 01 03 435 437 246 191 1 1 189 2 74 6 45 42 1 19
Pech 226 1 01 01 41 40 19 21 4 0 17 0 1 1 5 4 2 4
Péreille 227 1 01 09 165 164 93 71 0 4 67 0 16 5 30 9 2 5
Perles-et-Castelet 228 1 01 01 205 205 114 91 2 4 85 2 25 0 16 30 1 11
Le Pla 230 1 01 01 50 50 30 20 0 1 19 1 6 3 2 6 0 1
Le Port 231 1 01 03 178 178 98 80 2 0 78 2 40 0 16 13 3 4
Prades 232 1 01 01 92 92 36 56 2 2 52 0 8 1 10 30 1 2
Pradiéres 234 1 01 13 98 98 41 57 3 0 54 0 15 0 16 16 0 7
Prayols 236 1 01 12 328 329 198 131 5 3 123 1 39 1 28 39 4 11
Le Puch 237 1 01 01 38 38 15 23 0 1 22 1 5 0 1 15 0 0
Quérigut 239 1 01 01 135 135 69 66 5 2 59 3 10 2 20 18 1 5
Quié 240 1 01 12 225 224 110 114 10 3 101 0 16 1 45 23 1 15
Rabat-les-Trois-Seigneurs 241 1 01 12 331 331 202 129 5 3 121 6 42 4 31 16 1 21
Raissac 242 1 01 09 42 42 23 19 0 0 19 2 0 0 10 7 0 0
Rieux-de-Pelleport 245 1 01 07 962 964 696 268 8 2 258 5 53 8 96 65 4 27
Roquefixade 249 1 01 09 123 123 64 59 2 1 56 1 13 2 17 12 0 11
Roquefort-les-Cascades 250 1 01 09 88 88 41 47 2 3 42 3 6 0 12 17 0 4
Rouze 252 1 01 01 56 56 18 38 1 0 37 0 2 0 2 26 1 6
Saint-Bauzeil 256 1 01 07 49 50 25 25 1 1 23 0 4 1 1 3 0 14
